15,25;170,25;325,25;480,25;15,180;170,180;325,180;480,180;15,335;170,335;325,335;480,335;15,490;170,490;325,490;480,490:805,25;805,180;650,335;650,25;960,180;1115,490;960,335;650,490;960,25;960,490;650,180;1115,180;1115,25;805,490;805,335;1115,335
15,25;170,25;325,25;480,25;15,180;170,180;325,180;480,180;15,335;170,335;325,335;480,335;15,490;170,490;325,490;480,490:805,25;805,180;650,335;650,25;960,180;1115,490;960,335;650,490;960,25;960,490;650,180;1115,180;1115,25;805,490;805,335;1115,335
15,25;170,25;325,25;480,25;15,180;170,180;325,180;480,180;15,335;170,335;325,335;480,335;15,490;170,490;325,490;480,490:805,25;805,180;650,335;650,25;960,180;1115,490;960,335;650,490;960,25;960,490;650,180;1115,180;1115,25;805,490;805,335;1115,335
15,25;170,25;325,25;480,25;15,180;170,180;325,180;480,180;15,335;170,335;325,335;480,335;15,490;170,490;325,490;480,490:805,25;805,180;650,335;650,25;960,180;1115,490;960,335;650,490;960,25;960,490;650,180;1115,180;1115,25;805,490;805,335;1115,335
15,25;170,25;325,25;480,25;15,180;170,180;325,180;480,180;15,335;170,335;325,335;480,335;15,490;170,490;325,490;480,490:805,25;805,180;650,335;650,25;960,180;1115,490;960,335;650,490;960,25;960,490;650,180;1115,180;1115,25;805,490;805,335;1115,335
15,25;170,25;325,25;480,25;15,180;170,180;325,180;480,180;15,335;170,335;325,335;480,335;15,490;170,490;325,490;480,490:805,25;805,180;650,335;650,25;960,180;1115,490;960,335;650,490;960,25;960,490;650,180;1115,180;1115,25;805,490;805,335;1115,335
15,25;170,25;325,25;480,25;15,180;170,180;325,180;480,180;15,335;170,335;325,335;480,335;15,490;170,490;325,490;480,490:805,25;805,180;650,335;650,25;960,180;1115,490;960,335;650,490;960,25;960,490;650,180;1115,180;1115,25;805,490;805,335;1115,335
15,25;170,25;325,25;480,25;15,180;170,180;325,180;480,180;15,335;170,335;325,335;480,335;15,490;170,490;325,490;480,490:805,25;805,180;650,335;650,25;960,180;1115,490;960,335;650,490;960,25;960,490;650,180;1115,180;1115,25;805,490;805,335;1115,335
15,25;170,25;325,25;480,25;15,180;170,180;325,180;480,180;15,335;170,335;325,335;480,335;15,490;170,490;325,490;480,490:805,25;805,180;650,335;650,25;960,180;1115,490;960,335;650,490;960,25;960,490;650,180;1115,180;1115,25;805,490;805,335;1115,335
15,25;170,25;325,25;480,25;15,180;170,180;325,180;480,180;15,335;170,335;325,335;480,335;15,490;170,490;325,490;480,490:805,25;805,180;650,335;650,25;960,180;1115,490;960,335;650,490;960,25;960,490;650,180;1115,180;1115,25;805,490;805,335;1115,335
15,25;170,25;325,25;480,25;15,180;170,180;325,180;480,180;15,335;170,335;325,335;480,335;15,490;170,490;325,490;480,490:805,25;805,180;650,335;650,25;960,180;1115,490;960,335;650,490;960,25;960,490;650,180;1115,180;1115,25;805,490;805,335;1115,335
15,25;170,25;325,25;480,25;15,180;170,180;325,180;480,180;15,335;170,335;325,335;480,335;15,490;170,490;325,490;480,490:805,25;805,180;650,335;650,25;960,180;1115,490;960,335;650,490;960,25;960,490;650,180;1115,180;1115,25;805,490;805,335;1115,335
15,25;170,25;325,25;480,25;15,180;170,180;325,180;480,180;15,335;170,335;325,335;480,335;15,490;170,490;325,490;480,490:805,25;805,180;650,335;650,25;960,180;1115,490;960,335;650,490;960,25;960,490;650,180;1115,180;1115,25;805,490;805,335;1115,335
15,25;170,25;325,25;480,25;15,180;170,180;325,180;480,180;15,335;170,335;325,335;480,335;15,490;170,490;325,490;480,490:805,25;805,180;650,335;650,25;960,180;1115,490;960,335;650,490;960,25;960,490;650,180;1115,180;1115,25;805,490;805,335;1115,335
15,25;170,25;325,25;480,25;15,180;170,180;325,180;480,180;15,335;170,335;325,335;480,335;15,490;170,490;325,490;480,490:805,25;805,180;650,335;650,25;960,180;1115,490;960,335;650,490;960,25;960,490;650,180;1115,180;1115,25;805,490;805,335;1115,335
15,25;170,25;325,25;480,25;15,180;170,180;325,180;480,180;15,335;170,335;325,335;480,335;15,490;170,490;325,490;480,490:805,25;805,180;650,335;650,25;960,180;1115,490;960,335;650,490;960,25;960,490;650,180;1115,180;1115,25;805,490;805,335;1115,335
15,25;170,25;325,25;480,25;15,180;170,180;325,180;480,180;15,335;170,335;325,335;480,335;15,490;170,490;325,490;480,490:805,25;805,180;650,335;650,25;960,180;1115,490;960,335;650,490;960,25;960,490;650,180;1115,180;1115,25;805,490;805,335;1115,335
15,25;170,25;325,25;480,25;15,180;170,180;325,180;480,180;15,335;170,335;325,335;480,335;15,490;170,490;325,490;480,490:805,25;805,180;650,335;650,25;960,180;1115,490;960,335;650,490;960,25;960,490;650,180;1115,180;1115,25;805,490;805,335;1115,335
15,25;170,25;325,25;480,25;15,180;170,180;325,180;480,180;15,335;170,335;325,335;480,335;15,490;170,490;325,490;480,490:805,25;805,180;650,335;650,25;960,180;1115,490;960,335;650,490;960,25;960,490;650,180;1115,180;1115,25;805,490;805,335;1115,335
15,25;170,25;325,25;480,25;15,180;170,180;325,180;480,180;15,335;170,335;325,335;480,335;15,490;170,490;325,490;480,490:805,25;805,180;650,335;650,25;960,180;1115,490;960,335;650,490;960,25;960,490;650,180;1115,180;1115,25;805,490;805,335;1115,335
15,25;170,25;325,25;480,25;15,180;170,180;325,180;480,180;15,335;170,335;325,335;480,335;15,490;170,490;325,490;480,490:805,25;805,180;650,335;650,25;960,180;1115,490;960,335;650,490;960,25;960,490;650,180;1115,180;1115,25;805,490;805,335;1115,335
15,25;170,25;325,25;480,25;15,180;170,180;325,180;480,180;15,335;170,335;325,335;480,335;15,490;170,490;325,490;480,490:805,25;805,180;650,335;650,25;960,180;1115,490;960,335;650,490;960,25;960,490;650,180;1115,180;1115,25;805,490;805,335;1115,335
15,25;170,25;325,25;480,25;15,180;170,180;325,180;480,180;15,335;170,335;325,335;480,335;15,490;170,490;325,490;480,490:805,25;805,180;650,335;650,25;960,180;1115,490;960,335;650,490;960,25;960,490;650,180;1115,180;1115,25;805,490;805,335;1115,335
15,25;170,25;325,25;480,25;15,180;170,180;325,180;480,180;15,335;170,335;325,335;480,335;15,490;170,490;325,490;480,490:805,25;805,180;650,335;650,25;960,180;1115,490;960,335;650,490;960,25;960,490;650,180;1115,180;1115,25;805,490;805,335;1115,335
15,25;170,25;325,25;480,25;15,180;170,180;325,180;480,180;15,335;170,335;325,335;480,335;15,490;170,490;325,490;480,490:805,25;805,180;650,335;650,25;960,180;1115,490;960,335;650,490;960,25;960,490;650,180;1115,180;1115,25;805,490;805,335;1115,335
15,25;170,25;325,25;480,25;15,180;170,180;325,180;480,180;15,335;170,335;325,335;480,335;15,490;170,490;325,490;480,490:805,25;805,180;650,335;650,25;960,180;1115,490;960,335;650,490;960,25;960,490;650,180;1115,180;1115,25;805,490;805,335;1115,335
15,25;170,25;325,25;480,25;15,180;170,180;325,180;480,180;15,335;170,335;325,335;480,335;15,490;170,490;325,490;480,490:805,25;805,180;650,335;650,25;960,180;1115,490;960,335;650,490;960,25;960,490;650,180;1115,180;1115,25;805,490;805,335;1115,335
15,25;170,25;325,25;480,25;15,180;170,180;325,180;480,180;15,335;170,335;325,335;480,335;15,490;170,490;325,490;480,490:805,25;805,180;650,335;650,25;960,180;1115,490;960,335;650,490;960,25;960,490;650,180;1115,180;1115,25;805,490;805,335;1115,335
15,25;170,25;325,25;480,25;15,180;170,180;325,180;480,180;15,335;170,335;325,335;480,335;15,490;170,490;325,490;480,490:805,25;805,180;650,335;650,25;960,180;1115,490;960,335;650,490;960,25;960,490;650,180;1115,180;1115,25;805,490;805,335;1115,335
15,25;170,25;325,25;480,25;15,180;170,180;325,180;480,180;15,335;170,335;325,335;480,335;15,490;170,490;325,490;480,490:805,25;805,180;650,335;650,25;960,180;1115,490;960,335;650,490;960,25;960,490;650,180;1115,180;1115,25;805,490;805,335;1115,335
15,25;170,25;325,25;480,25;15,180;170,180;325,180;480,180;15,335;170,335;325,335;480,335;15,490;170,490;325,490;480,490:805,25;805,180;650,335;650,25;960,180;1115,490;960,335;650,490;960,25;960,490;650,180;1115,180;1115,25;805,490;805,335;1115,335
15,25;170,25;325,25;480,25;15,180;170,180;325,180;480,180;15,335;170,335;325,335;480,335;15,490;170,490;325,490;480,490:805,25;805,180;650,335;650,25;960,180;1115,490;960,335;650,490;960,25;960,490;650,180;1115,180;1115,25;805,490;805,335;1115,335
15,25;170,25;325,25;480,25;15,180;170,180;325,180;480,180;15,335;170,335;325,335;480,335;15,490;170,490;325,490;480,490:805,25;805,180;650,335;650,25;960,180;1115,490;960,335;650,490;960,25;960,490;650,180;1115,180;1115,25;805,490;805,335;1115,335
15,25;170,25;325,25;480,25;15,180;170,180;325,180;480,180;15,335;170,335;325,335;480,335;15,490;170,490;325,490;480,490:805,25;805,180;650,335;650,25;960,180;1115,490;960,335;650,490;960,25;960,490;650,180;1115,180;1115,25;805,490;805,335;1115,335
15,25;170,25;325,25;480,25;15,180;170,180;325,180;480,180;15,335;170,335;325,335;480,335;15,490;170,490;325,490;480,490:805,25;805,180;650,335;650,25;960,180;1115,490;960,335;650,490;960,25;960,490;650,180;1115,180;1115,25;805,490;805,335;1115,335
15,25;170,25;325,25;480,25;15,180;170,180;325,180;480,180;15,335;170,335;325,335;480,335;15,490;170,490;325,490;480,490:805,25;805,180;650,335;650,25;960,180;1115,490;960,335;650,490;960,25;960,490;650,180;1115,180;1115,25;805,490;805,335;1115,335
15,25;170,25;325,25;480,25;15,180;170,180;325,180;480,180;15,335;170,335;325,335;480,335;15,490;170,490;325,490;480,490:805,25;805,180;650,335;650,25;960,180;1115,490;960,335;650,490;960,25;960,490;650,180;1115,180;1115,25;805,490;805,335;1115,335
15,25;170,25;325,25;480,25;15,180;170,180;325,180;480,180;15,335;170,335;325,335;480,335;15,490;170,490;325,490;480,490:805,25;805,180;650,335;650,25;960,180;1115,490;960,335;650,490;960,25;960,490;650,180;1115,180;1115,25;805,490;805,335;1115,335
15,25;170,25;325,25;480,25;15,180;170,180;325,180;480,180;15,335;170,335;325,335;480,335;15,490;170,490;325,490;480,490:805,25;805,180;650,335;650,25;960,180;1115,490;960,335;650,490;960,25;960,490;650,180;1115,180;1115,25;805,490;805,335;1115,335
15,25;170,25;325,25;480,25;15,180;170,180;325,180;480,180;15,335;170,335;325,335;480,335;15,490;170,490;325,490;480,490:805,25;805,180;650,335;650,25;960,180;1115,490;960,335;650,490;960,25;960,490;650,180;1115,180;1115,25;805,490;805,335;1115,335
15,25;170,25;325,25;480,25;15,180;170,180;325,180;480,180;15,335;170,335;325,335;480,335;15,490;170,490;325,490;480,490:805,25;805,180;650,335;650,25;960,180;1115,490;960,335;650,490;960,25;960,490;650,180;1115,180;1115,25;805,490;805,335;1115,335
15,25;170,25;325,25;480,25;15,180;170,180;325,180;480,180;15,335;170,335;325,335;480,335;15,490;170,490;325,490;480,490:805,25;805,180;650,335;650,25;960,180;1115,490;960,335;650,490;960,25;960,490;650,180;1115,180;1115,25;805,490;805,335;1115,335
15,25;170,25;325,25;480,25;15,180;170,180;325,180;480,180;15,335;170,335;325,335;480,335;15,490;170,490;325,490;480,490:805,25;805,180;650,335;650,25;960,180;1115,490;960,335;650,490;960,25;960,490;650,180;1115,180;1115,25;805,490;805,335;1115,335
15,25;170,25;325,25;480,25;15,180;170,180;325,180;480,180;15,335;170,335;325,335;480,335;15,490;170,490;325,490;480,490:805,25;805,180;650,335;650,25;960,180;1115,490;960,335;650,490;960,25;960,490;650,180;1115,180;1115,25;805,490;805,335;1115,335
15,25;170,25;325,25;480,25;15,180;170,180;325,180;480,180;15,335;170,335;325,335;480,335;15,490;170,490;325,490;480,490:805,25;805,180;650,335;650,25;960,180;1115,490;960,335;650,490;960,25;960,490;650,180;1115,180;1115,25;805,490;805,335;1115,335
15,25;170,25;325,25;480,25;15,180;170,180;325,180;480,180;15,335;170,335;325,335;480,335;15,490;170,490;325,490;480,490:805,25;805,180;650,335;650,25;960,180;1115,490;960,335;650,490;960,25;960,490;650,180;1115,180;1115,25;805,490;805,335;1115,335
15,25;170,25;325,25;480,25;15,180;170,180;325,180;480,180;15,335;170,335;325,335;480,335;15,490;170,490;325,490;480,490:805,25;805,180;650,335;650,25;960,180;1115,490;960,335;650,490;960,25;960,490;650,180;1115,180;1115,25;805,490;805,335;1115,335
15,25;170,25;325,25;480,25;15,180;170,180;325,180;480,180;15,335;170,335;325,335;480,335;15,490;170,490;325,490;480,490:805,25;805,180;650,335;650,25;960,180;1115,490;960,335;650,490;960,25;960,490;650,180;1115,180;1115,25;805,490;805,335;1115,335
15,25;170,25;325,25;480,25;15,180;170,180;325,180;480,180;15,335;170,335;325,335;480,335;15,490;170,490;325,490;480,490:805,25;805,180;650,335;650,25;960,180;1115,490;960,335;650,490;960,25;960,490;650,180;1115,180;1115,25;805,490;805,335;1115,335
15,25;170,25;325,25;480,25;15,180;170,180;325,180;480,180;15,335;170,335;325,335;480,335;15,490;170,490;325,490;480,490:805,25;805,180;650,335;650,25;960,180;1115,490;960,335;650,490;960,25;960,490;650,180;1115,180;1115,25;805,490;805,335;1115,335
15,25;170,25;325,25;480,25;15,180;170,180;325,180;480,180;15,335;170,335;325,335;480,335;15,490;170,490;325,490;480,490:805,25;805,180;650,335;650,25;960,180;1115,490;960,335;650,490;960,25;960,490;650,180;1115,180;1115,25;805,490;805,335;1115,335
15,25;170,25;325,25;480,25;15,180;170,180;325,180;480,180;15,335;170,335;325,335;480,335;15,490;170,490;325,490;480,490:805,25;805,180;650,335;650,25;960,180;1115,490;960,335;650,490;960,25;960,490;650,180;1115,180;1115,25;805,490;805,335;1115,335
15,25;170,25;325,25;480,25;15,180;170,180;325,180;480,180;15,335;170,335;325,335;480,335;15,490;170,490;325,490;480,490:805,25;805,180;650,335;650,25;960,180;1115,490;960,335;650,490;960,25;960,490;650,180;1115,180;1115,25;805,490;805,335;1115,335
15,25;170,25;325,25;480,25;15,180;170,180;325,180;480,180;15,335;170,335;325,335;480,335;15,490;170,490;325,490;480,490:805,25;805,180;650,335;650,25;960,180;1115,490;960,335;650,490;960,25;960,490;650,180;1115,180;1115,25;805,490;805,335;1115,335
15,25;170,25;325,25;480,25;15,180;170,180;325,180;480,180;15,335;170,335;325,335;480,335;15,490;170,490;325,490;480,490:805,25;805,180;650,335;650,25;960,180;1115,490;960,335;650,490;960,25;960,490;650,180;1115,180;1115,25;805,490;805,335;1115,335
15,25;170,25;325,25;480,25;15,180;170,180;325,180;480,180;15,335;170,335;325,335;480,335;15,490;170,490;325,490;480,490:805,25;805,180;650,335;650,25;960,180;1115,490;960,335;650,490;960,25;960,490;650,180;1115,180;1115,25;805,490;805,335;1115,335
15,25;170,25;325,25;480,25;15,180;170,180;325,180;480,180;15,335;170,335;325,335;480,335;15,490;170,490;325,490;480,490:805,25;805,180;650,335;650,25;960,180;1115,490;960,335;650,490;960,25;960,490;650,180;1115,180;1115,25;805,490;805,335;1115,335
15,25;170,25;325,25;480,25;15,180;170,180;325,180;480,180;15,335;170,335;325,335;480,335;15,490;170,490;325,490;480,490:805,25;805,180;650,335;650,25;960,180;1115,490;960,335;650,490;960,25;960,490;650,180;1115,180;1115,25;805,490;805,335;1115,335
15,25;170,25;325,25;480,25;15,180;170,180;325,180;480,180;15,335;170,335;325,335;480,335;15,490;170,490;325,490;480,490:805,25;805,180;650,335;650,25;960,180;1115,490;960,335;650,490;960,25;960,490;650,180;1115,180;1115,25;805,490;805,335;1115,335
15,25;170,25;325,25;480,25;15,180;170,180;325,180;480,180;15,335;170,335;325,335;480,335;15,490;170,490;325,490;480,490:805,25;805,180;650,335;650,25;960,180;1115,490;960,335;650,490;960,25;960,490;650,180;1115,180;1115,25;805,490;805,335;1115,335
15,25;170,25;325,25;480,25;15,180;170,180;325,180;480,180;15,335;170,335;325,335;480,335;15,490;170,490;325,490;480,490:805,25;805,180;650,335;650,25;960,180;1115,490;960,335;650,490;960,25;960,490;650,180;1115,180;1115,25;805,490;805,335;1115,335
15,25;170,25;325,25;480,25;15,180;170,180;325,180;480,180;15,335;170,335;325,335;480,335;15,490;170,490;325,490;480,490:805,25;805,180;650,335;650,25;960,180;1115,490;960,335;650,490;960,25;960,490;650,180;1115,180;1115,25;805,490;805,335;1115,335
15,25;170,25;325,25;480,25;15,180;170,180;325,180;480,180;15,335;170,335;325,335;480,335;15,490;170,490;325,490;480,490:805,25;805,180;650,335;650,25;960,180;1115,490;960,335;650,490;960,25;960,490;650,180;1115,180;1115,25;805,490;805,335;1115,335
15,25;170,25;325,25;480,25;15,180;170,180;325,180;480,180;15,335;170,335;325,335;480,335;15,490;170,490;325,490;480,490:805,25;805,180;650,335;650,25;960,180;1115,490;960,335;650,490;960,25;960,490;650,180;1115,180;1115,25;805,490;805,335;1115,335
15,25;170,25;325,25;480,25;15,180;170,180;325,180;480,180;15,335;170,335;325,335;480,335;15,490;170,490;325,490;480,490:805,25;805,180;650,335;650,25;960,180;1115,490;960,335;650,490;960,25;960,490;650,180;1115,180;1115,25;805,490;805,335;1115,335
15,25;170,25;325,25;480,25;15,180;170,180;325,180;480,180;15,335;170,335;325,335;480,335;15,490;170,490;325,490;480,490:805,25;805,180;650,335;650,25;960,180;1115,490;960,335;650,490;960,25;960,490;650,180;1115,180;1115,25;805,490;805,335;1115,335
15,25;170,25;325,25;480,25;15,180;170,180;325,180;480,180;15,335;170,335;325,335;480,335;15,490;170,490;325,490;480,490:805,25;805,180;650,335;650,25;960,180;1115,490;960,335;650,490;960,25;960,490;650,180;1115,180;1115,25;805,490;805,335;1115,335
15,25;170,25;325,25;480,25;15,180;170,180;325,180;480,180;15,335;170,335;325,335;480,335;15,490;170,490;325,490;480,490:805,25;805,180;650,335;650,25;960,180;1115,490;960,335;650,490;960,25;960,490;650,180;1115,180;1115,25;805,490;805,335;1115,335
15,25;170,25;325,25;480,25;15,180;170,180;325,180;480,180;15,335;170,335;325,335;480,335;15,490;170,490;325,490;480,490:805,25;805,180;650,335;650,25;960,180;1115,490;960,335;650,490;960,25;960,490;650,180;1115,180;1115,25;805,490;805,335;1115,335
15,25;170,25;325,25;480,25;15,180;170,180;325,180;480,180;15,335;170,335;325,335;480,335;15,490;170,490;325,490;480,490:805,25;805,180;650,335;650,25;960,180;1115,490;960,335;650,490;960,25;960,490;650,180;1115,180;1115,25;805,490;805,335;1115,335
15,25;170,25;325,25;480,25;15,180;170,180;325,180;480,180;15,335;170,335;325,335;480,335;15,490;170,490;325,490;480,490:805,25;805,180;650,335;650,25;960,180;1115,490;960,335;650,490;960,25;960,490;650,180;1115,180;1115,25;805,490;805,335;1115,335
15,25;170,25;325,25;480,25;15,180;170,180;325,180;480,180;15,335;170,335;325,335;480,335;15,490;170,490;325,490;480,490:805,25;805,180;650,335;650,25;960,180;1115,490;960,335;650,490;960,25;960,490;650,180;1115,180;1115,25;805,490;805,335;1115,335
15,25;170,25;325,25;480,25;15,180;170,180;325,180;480,180;15,335;170,335;325,335;480,335;15,490;170,490;325,490;480,490:805,25;805,180;650,335;650,25;960,180;1115,490;960,335;650,490;960,25;960,490;650,180;1115,180;1115,25;805,490;805,335;1115,335
15,25;170,25;325,25;480,25;15,180;170,180;325,180;480,180;15,335;170,335;325,335;480,335;15,490;170,490;325,490;480,490:805,25;805,180;650,335;650,25;960,180;1115,490;960,335;650,490;960,25;960,490;650,180;1115,180;1115,25;805,490;805,335;1115,335
15,25;170,25;325,25;480,25;15,180;170,180;325,180;480,180;15,335;170,335;325,335;480,335;15,490;170,490;325,490;480,490:805,25;805,180;650,335;650,25;960,180;1115,490;960,335;650,490;960,25;960,490;650,180;1115,180;1115,25;805,490;805,335;1115,335
15,25;170,25;325,25;480,25;15,180;170,180;325,180;480,180;15,335;170,335;325,335;480,335;15,490;170,490;325,490;480,490:805,25;805,180;650,335;650,25;960,180;1115,490;960,335;650,490;960,25;960,490;650,180;1115,180;1115,25;805,490;805,335;1115,335
15,25;170,25;325,25;480,25;15,180;170,180;325,180;480,180;15,335;170,335;325,335;480,335;15,490;170,490;325,490;480,490:805,25;805,180;650,335;650,25;960,180;1115,490;960,335;650,490;960,25;960,490;650,180;1115,180;1115,25;805,490;805,335;1115,335
15,25;170,25;325,25;480,25;15,180;170,180;325,180;480,180;15,335;170,335;325,335;480,335;15,490;170,490;325,490;480,490:805,25;805,180;650,335;650,25;960,180;1115,490;960,335;650,490;960,25;960,490;650,180;1115,180;1115,25;805,490;805,335;1115,335
15,25;170,25;325,25;480,25;15,180;170,180;325,180;480,180;15,335;170,335;325,335;480,335;15,490;170,490;325,490;480,490:805,25;805,180;650,335;650,25;960,180;1115,490;960,335;650,490;960,25;960,490;650,180;1115,180;1115,25;805,490;805,335;1115,335
15,25;170,25;325,25;480,25;15,180;170,180;325,180;480,180;15,335;170,335;325,335;480,335;15,490;170,490;325,490;480,490:805,25;805,180;650,335;650,25;960,180;1115,490;960,335;650,490;960,25;960,490;650,180;1115,180;1115,25;805,490;805,335;1115,335
15,25;170,25;325,25;480,25;15,180;170,180;325,180;480,180;15,335;170,335;325,335;480,335;15,490;170,490;325,490;480,490:805,25;805,180;650,335;650,25;960,180;1115,490;960,335;650,490;960,25;960,490;650,180;1115,180;1115,25;805,490;805,335;1115,335
15,25;170,25;325,25;480,25;15,180;170,180;325,180;480,180;15,335;170,335;325,335;480,335;15,490;170,490;325,490;480,490:805,25;805,180;650,335;650,25;960,180;1115,490;960,335;650,490;960,25;960,490;650,180;1115,180;1115,25;805,490;805,335;1115,335
15,25;170,25;325,25;480,25;15,180;170,180;325,180;480,180;15,335;170,335;325,335;480,335;15,490;170,490;325,490;480,490:805,25;805,180;650,335;650,25;960,180;1115,490;960,335;650,490;960,25;960,490;650,180;1115,180;1115,25;805,490;805,335;1115,335
15,25;170,25;325,25;480,25;15,180;170,180;325,180;480,180;15,335;170,335;325,335;480,335;15,490;170,490;325,490;480,490:805,25;805,180;650,335;650,25;960,180;1115,490;960,335;650,490;960,25;960,490;650,180;1115,180;1115,25;805,490;805,335;1115,335
15,25;170,25;325,25;480,25;15,180;170,180;325,180;480,180;15,335;170,335;325,335;480,335;15,490;170,490;325,490;480,490:805,25;805,180;650,335;650,25;960,180;1115,490;960,335;650,490;960,25;960,490;650,180;1115,180;1115,25;805,490;805,335;1115,335
15,25;170,25;325,25;480,25;15,180;170,180;325,180;480,180;15,335;170,335;325,335;480,335;15,490;170,490;325,490;480,490:805,25;805,180;650,335;650,25;960,180;1115,490;960,335;650,490;960,25;960,490;650,180;1115,180;1115,25;805,490;805,335;1115,335
15,25;170,25;325,25;480,25;15,180;170,180;325,180;480,180;15,335;170,335;325,335;480,335;15,490;170,490;325,490;480,490:805,25;805,180;650,335;650,25;960,180;1115,490;960,335;650,490;960,25;960,490;650,180;1115,180;1115,25;805,490;805,335;1115,335
15,25;170,25;325,25;480,25;15,180;170,180;325,180;480,180;15,335;170,335;325,335;480,335;15,490;170,490;325,490;480,490:805,25;805,180;650,335;650,25;960,180;1115,490;960,335;650,490;960,25;960,490;650,180;1115,180;1115,25;805,490;805,335;1115,335
15,25;170,25;325,25;480,25;15,180;170,180;325,180;480,180;15,335;170,335;325,335;480,335;15,490;170,490;325,490;480,490:805,25;805,180;650,335;650,25;960,180;1115,490;960,335;650,490;960,25;960,490;650,180;1115,180;1115,25;805,490;805,335;1115,335
15,25;170,25;325,25;480,25;15,180;170,180;325,180;480,180;15,335;170,335;325,335;480,335;15,490;170,490;325,490;480,490:805,25;805,180;650,335;650,25;960,180;1115,490;960,335;650,490;960,25;960,490;650,180;1115,180;1115,25;805,490;805,335;1115,335
15,25;170,25;325,25;480,25;15,180;170,180;325,180;480,180;15,335;170,335;325,335;480,335;15,490;170,490;325,490;480,490:805,25;805,180;650,335;650,25;960,180;1115,490;960,335;650,490;960,25;960,490;650,180;1115,180;1115,25;805,490;805,335;1115,335
15,25;170,25;325,25;480,25;15,180;170,180;325,180;480,180;15,335;170,335;325,335;480,335;15,490;170,490;325,490;480,490:805,25;805,180;650,335;650,25;960,180;1115,490;960,335;650,490;960,25;960,490;650,180;1115,180;1115,25;805,490;805,335;1115,335
15,25;170,25;325,25;480,25;15,180;170,180;325,180;480,180;15,335;170,335;325,335;480,335;15,490;170,490;325,490;480,490:805,25;805,180;650,335;650,25;960,180;1115,490;960,335;650,490;960,25;960,490;650,180;1115,180;1115,25;805,490;805,335;1115,335
480,25;15,180;480,490;15,25;480,180;325,335;325,25;480,335;170,490;15,335;325,490;15,490;170,180;170,25;170,335;325,180:650,25;805,25;960,25;1115,25;650,180;805,180;960,180;1115,180;650,335;805,335;960,335;1115,335;650,490;805,490;960,490;1115,490
325,180;170,490;170,335;15,25;325,490;325,25;15,490;480,490;170,25;480,25;170,180;480,335;480,180;15,180;15,335;325,335:650,25;805,25;960,25;1115,25;650,180;805,180;960,180;1115,180;650,335;805,335;960,335;1115,335;650,490;805,490;960,490;1115,490
325,180;170,490;170,335;15,25;325,490;325,25;15,490;480,490;170,25;480,25;170,180;480,335;480,180;15,180;15,335;325,335:650,25;805,25;960,25;1115,25;650,180;805,180;960,180;1115,180;650,335;805,335;960,335;1115,335;650,490;805,490;960,490;1115,490
15,25;170,25;325,25;480,25;15,180;170,180;325,180;480,180;15,335;170,335;325,335;480,335;15,490;170,490;325,490;480,490:805,180;960,25;960,335;650,25;1115,490;650,490;650,180;960,180;805,490;1115,180;1115,335;1115,25;650,335;960,490;805,335;805,25
15,25;170,25;325,25;480,25;15,180;170,180;325,180;480,180;15,335;170,335;325,335;480,335;15,490;170,490;325,490;480,490:805,180;960,25;960,335;650,25;1115,490;650,490;650,180;960,180;805,490;1115,180;1115,335;1115,25;650,335;960,490;805,335;805,25
15,25;170,25;325,25;480,25;15,180;170,180;325,180;480,180;15,335;170,335;325,335;480,335;15,490;170,490;325,490;480,490:805,180;960,25;960,335;650,25;1115,490;650,490;650,180;960,180;805,490;1115,180;1115,335;1115,25;650,335;960,490;805,335;805,25
15,25;170,25;325,25;480,25;15,180;170,180;325,180;480,180;15,335;170,335;325,335;480,335;15,490;170,490;325,490;480,490:805,180;960,25;960,335;650,25;1115,490;650,490;650,180;960,180;805,490;1115,180;1115,335;1115,25;650,335;960,490;805,335;805,25
325,490;480,490;15,490;15,25;325,25;325,335;325,180;170,490;170,335;480,25;170,180;480,335;480,180;170,25;15,335;15,180:650,25;805,25;960,25;1115,25;650,180;805,180;960,180;1115,180;650,335;805,335;960,335;1115,335;650,490;805,490;960,490;1115,490
15,180;325,335;170,25;15,25;325,25;480,490;170,490;325,490;325,180;480,25;15,490;170,335;15,335;170,180;480,335;480,180:650,25;805,25;960,25;1115,25;650,180;805,180;960,180;1115,180;650,335;805,335;960,335;1115,335;650,490;805,490;960,490;1115,490
170,180;170,25;480,180;15,25;15,180;480,335;170,335;480,490;325,335;15,490;480,25;170,490;325,490;325,180;325,25;15,335:650,25;805,25;960,25;1115,25;650,180;805,180;960,180;1115,180;650,335;805,335;960,335;1115,335;650,490;805,490;960,490;1115,490
15,25;170,25;325,25;480,25;15,180;170,180;325,180;480,180;15,335;170,335;325,335;480,335;15,490;170,490;325,490;480,490:805,490;1115,25;1115,490;650,25;960,490;650,180;960,25;1115,335;960,180;650,335;1115,180;960,335;650,490;805,335;805,25;805,180
325,490;170,490;15,490;-140,490;325,490;170,490;15,490;-140,490;325,490;170,490;15,490;-140,490;325,490;170,490;15,490;-140,490:650,25;805,25;960,25;1115,25;650,180;805,180;960,180;1115,180;650,335;805,335;960,335;1115,335;650,490;805,490;960,490;1115,490
15,25;170,25;325,25;480,25;15,180;170,180;325,180;480,180;15,335;170,335;325,335;480,335;15,490;170,490;325,490;480,490:1000,490;845,490;690,490;535,490;1000,490;845,490;690,490;535,490;1000,490;845,490;690,490;535,490;1000,490;845,490;690,490;535,490
